"USE THESE AUTHORS																																																																																																																																																																												"
"Maherali	 N.	 #	 Sridharan	 R.	 #	 Xie	 W.	 #	 Utikal	 J.	 #	 Eminli	 S.	 #	 Arnold	 K.	 #	 Stadtfeld	 M.	 #	 Yachechko	 R.	 #	 Tchieu	 J.	 #	 Jaenisch	 R.	 #	 Plath	 K.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ohgushi	 M.	 #	 Matsumura	 M.	 #	 Eiraku	 M.	 #	 Murakami	 K.	 #	 Aramaki	 T.	 #	 Nishiyama	 A.	 #	 Muguruma	 K.	 #	 Nakano	 T.	 #	 Suga	 H.	 #	 Ueno	 M.	 #	 Ishizaki	 T.	 #	 Suemori	 H.	 #	 Narumiya	 S.	 #	 Niwa	 H.	 #	 Sasai	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Chen	 G.	 #	 Hou	 Z.	 #	 Gulbranson	 D.R.	 #	 Thomson	 J.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Guenther	 M.G.	 #	 Frampton	 G.M.	 #	 Soldner	 F.	 #	 Hockemeyer	 D.	 #	 Mitalipova	 M.	 #	 Jaenisch	 R.	 #	 Young	 R.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Newman	 A.M.	 #	 Cooper	 J.B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Chin	 M.H.	 #	 Pellegrini	 M.	 #	 Plath	 K.	 #	 Lowry	 W.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ishizawa	 K.	 #	 Rasheed	 Z.A.	 #	 Karisch	 R.	 #	 Wang	 Q.	 #	 Kowalski	 J.	 #	 Susky	 E.	 #	 Pereira	 K.	 #	 Karamboulas	 C.	 #	 Moghal	 N.	 #	 Rajeshkumar	 N.V.	 #	 Hidalgo	 M.	 #	 Tsao	 M.	 #	 Ailles	 L.	 #	 Waddell	 T.K.	 #	 Maitra	 A.	 #	 Neel	 B.G.	 #	 Matsui	 W.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Yang	 J.	 #	 Van Oosten	 A.L.	 #	 Theunissen	 T.W.	 #	 Guo	 G.	 #	 Silva	 J.C.R.	 #	 Smith	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Tchieu	 J.	 #	 Kuoy	 E.	 #	 Chin	 M.H.	 #	 Trinh	 H.	 #	 Patterson	 M.	 #	 Sherman	 S.P.	 #	 Aimiuwu	 O.	 #	 Lindgren	 A.	 #	 Hakimian	 S.	 #	 Zack	 J.A.	 #	 Clark	 A.T.	 #	 Pyle	 A.D.	 #	 Lowry	 W.E.	 #	 Plath	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Smith	 K.N.	 #	 Singh	 A.M.	 #	 Dalton	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Peljto	 M.	 #	 Dasen	 J.S.	 #	 Mazzoni	 E.O.	 #	 Jessell	 T.M.	 #	 Wichterle	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ferron	 S.R.	 #	 Pozo	 N.	 #	 Laguna	 A.	 #	 Aranda	 S.	 #	 Porlan	 E.	 #	 Moreno	 M.	 #	 Fillat	 C.	 #	 De La Luna	 S.	 #	 Sánchez	 P.	 #	 Arbonés	 M.L.	 #	 Fariñas	 I.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Simsek	 T.	 #	 Kocabas	 F.	 #	 Zheng	 J.	 #	 Deberardinis	 R.J.	 #	 Mahmoud	 A.I.	 #	 Olson	 E.N.	 #	 Schneider	 J.W.	 #	 Zhang	 C.C.	 #	 Sadek	 H.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Takubo	 K.	 #	 Goda	 N.	 #	 Yamada	 W.	 #	 Iriuchishima	 H.	 #	 Ikeda	 E.	 #	 Kubota	 Y.	 #	 Shima	 H.	 #	 Johnson	 R.S.	 #	 Hirao	 A.	 #	 Suematsu	 M.	 #	 Suda	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Molyneux	 G.	 #	 Geyer	 F.C.	 #	 Magnay	 F.-A.	 #	 McCarthy	 A.	 #	 Kendrick	 H.	 #	 Natrajan	 R.	 #	 MacKay	 A.	 #	 Grigoriadis	 A.	 #	 Tutt	 A.	 #	 Ashworth	 A.	 #	 Reis-Filho	 J.S.	 #	 Smalley	 M.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Palacios	 D.	 #	 Mozzetta	 C.	 #	 Consalvi	 S.	 #	 Caretti	 G.	 #	 Saccone	 V.	 #	 Proserpio	 V.	 #	 Marquez	 V.E.	 #	 Valente	 S.	 #	 Mai	 A.	 #	 Forcales	 S.V.	 #	 Sartorelli	 V.	 #	 Puri	 P.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Barnabé-Heider	 F.	 #	 Göritz	 C.	 #	 Sabelström	 H.	 #	 Takebayashi	 H.	 #	 Pfrieger	 F.W.	 #	 Meletis	 K.	 #	 Frisén	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Sierra	 A.	 #	 Encinas	 J.M.	 #	 Deudero	 J.J.P.	 #	 Chancey	 J.H.	 #	 Enikolopov	 G.	 #	 Overstreet-Wadiche	 L.S.	 #	 Tsirka	 S.E.	 #	 Maletic-Savatic	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kieslinger	 M.	 #	 Hiechinger	 S.	 #	 Dobreva	 G.	 #	 Consalez	 G.G.	 #	 Grosschedl	 R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Mayshar	 Y.	 #	 Ben-David	 U.	 #	 Lavon	 N.	 #	 Biancotti	 J.-C.	 #	 Yakir	 B.	 #	 Clark	 A.T.	 #	 Plath	 K.	 #	 Lowry	 W.E.	 #	 Benvenisty	 N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wilson	 N.K.	 #	 Foster	 S.D.	 #	 Wang	 X.	 #	 Knezevic	 K.	 #	 Schütte	 J.	 #	 Kaimakis	 P.	 #	 Chilarska	 P.M.	 #	 Kinston	 S.	 #	 Ouwehand	 W.H.	 #	 Dzierzak	 E.	 #	 Pimanda	 J.E.	 #	 De Bruijn	 M.F.T.R.	 #	 Göttgens	 B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wu	 X.	 #	 Pang	 L.	 #	 Lei	 W.	 #	 Lu	 W.	 #	 Li	 J.	 #	 Li	 Z.	 #	 Frassica	 F.J.	 #	 Chen	 X.	 #	 Wan	 M.	 #	 Cao	 X.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ables	 E.T.	 #	 Drummond-Barbosa	 D.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lee	 J.Y.	 #	 Nakada	 D.	 #	 Yilmaz	 O.H.	 #	 Tothova	 Z.	 #	 Joseph	 N.M.	 #	 Lim	 M.S.	 #	 Gilliland	 D.G.	 #	 Morrison	 S.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Abbas	 H.A.	 #	 MacCio	 D.R.	 #	 Coskun	 S.	 #	 Jackson	 J.G.	 #	 Hazen	 A.L.	 #	 Sills	 T.M.	 #	 You	 M.J.	 #	 Hirschi	 K.K.	 #	 Lozano	 G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Warren	 L.	 #	 Manos	 P.D.	 #	 Ahfeldt	 T.	 #	 Loh	 Y.-H.	 #	 Li	 H.	 #	 Lau	 F.	 #	 Ebina	 W.	 #	 Mandal	 P.K.	 #	 Smith	 Z.D.	 #	 Meissner	 A.	 #	 Daley	 G.Q.	 #	 Brack	 A.S.	 #	 Collins	 J.J.	 #	 Cowan	 C.A.	 #	 Schlaeger	 T.M.	 #	 Rossi	 D.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ku	 S.	 #	 Soragni	 E.	 #	 Campau	 E.	 #	 Thomas	 E.A.	 #	 Altun	 G.	 #	 Laurent	 L.C.	 #	 Loring	 J.F.	 #	 Napierala	 M.	 #	 Gottesfeld	 J.M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhu	 S.	 #	 Li	 W.	 #	 Zhou	 H.	 #	 Wei	 W.	 #	 Ambasudhan	 R.	 #	 Lin	 T.	 #	 Kim	 J.	 #	 Zhang	 K.	 #	 Ding	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Neveu	 P.	 #	 Kye	 M.J.	 #	 Qi	 S.	 #	 Buchholz	 D.E.	 #	 Clegg	 D.O.	 #	 Sahin	 M.	 #	 Park	 I.-H.	 #	 Kim	 K.-S.	 #	 Daley	 G.Q.	 #	 Kornblum	 H.I.	 #	 Shraiman	 B.I.	 #	 Kosik	 K.S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lukacs	 R.U.	 #	 Memarzadeh	 S.	 #	 Wu	 H.	 #	 Witte	 O.N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ma	 S.	 #	 Tang	 K.H.	 #	 Chan	 Y.P.	 #	 Lee	 T.K.	 #	 Kwan	 P.S.	 #	 Castilho	 A.	 #	 Ng	 I.	 #	 Man	 K.	 #	 Wong	 N.	 #	 To	 K.-F.	 #	 Zheng	 B.-J.	 #	 Lai	 P.B.S.	 #	 Lo	 C.M.	 #	 Chan	 K.W.	 #	 Guan	 X.-Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kikushige	 Y.	 #	 Shima	 T.	 #	 Takayanagi	 S.-I.	 #	 Urata	 S.	 #	 Miyamoto	 T.	 #	 Iwasaki	 H.	 #	 Takenaka	 K.	 #	 Teshima	 T.	 #	 Tanaka	 T.	 #	 Inagaki	 Y.	 #	 Akashi	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Vodyanik	 M.A.	 #	 Yu	 J.	 #	 Zhang	 X.	 #	 Tian	 S.	 #	 Stewart	 R.	 #	 Thomson	 J.A.	 #	 Slukvin	 I.I.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nomura	 T.	 #	 Göritz	 C.	 #	 Catchpole	 T.	 #	 Henkemeyer	 M.	 #	 Frisén	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Beckervordersandforth	 R.	 #	 Tripathi	 P.	 #	 Ninkovic	 J.	 #	 Bayam	 E.	 #	 Lepier	 A.	 #	 Stempfhuber	 B.	 #	 Kirchhoff	 F.	 #	 Hirrlinger	 J.	 #	 Haslinger	 A.	 #	 Lie	 D.C.	 #	 Beckers	 J.	 #	 Yoder	 B.	 #	 Irmler	 M.	 #	 Götz	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhang	 J.	 #	 Lian	 Q.	 #	 Zhu	 G.	 #	 Zhou	 F.	 #	 Sui	 L.	 #	 Tan	 C.	 #	 Mutalif	 R.A.	 #	 Navasankari	 R.	 #	 Zhang	 Y.	 #	 Tse	 H.-F.	 #	 Stewart	 C.L.	 #	 Colman	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Li	 X.	 #	 Zhu	 L.	 #	 Yang	 A.	 #	 Lin	 J.	 #	 Tang	 F.	 #	 Jin	 S.	 #	 Wei	 Z.	 #	 Li	 J.	 #	 Jin	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Le Belle	 J.E.	 #	 Orozco	 N.M.	 #	 Paucar	 A.A.	 #	 Saxe	 J.P.	 #	 Mottahedeh	 J.	 #	 Pyle	 A.D.	 #	 Wu	 H.	 #	 Kornblum	 H.I.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Smith-Berdan	 S.	 #	 Nguyen	 A.	 #	 Hassanein	 D.	 #	 Zimmer	 M.	 #	 Ugarte	 F.	 #	 Ciriza	 J.	 #	 Li	 D.	 #	 García-Ojeda	 M.E.	 #	 Hinck	 L.	 #	 Forsberg	 E.C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Jiang	 H.	 #	 Grenley	 M.O.	 #	 Bravo	 M.-J.	 #	 Blumhagen	 R.Z.	 #	 Edgar	 B.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Koche	 R.P.	 #	 Smith	 Z.D.	 #	 Adli	 M.	 #	 Gu	 H.	 #	 Ku	 M.	 #	 Gnirke	 A.	 #	 Bernstein	 B.E.	 #	 Meissner	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Laurent	 L.C.	 #	 Ulitsky	 I.	 #	 Slavin	 I.	 #	 Tran	 H.	 #	 Schork	 A.	 #	 Morey	 R.	 #	 Lynch	 C.	 #	 Harness	 J.V.	 #	 Lee	 S.	 #	 Barrero	 M.J.	 #	 Ku	 S.	 #	 Martynova	 M.	 #	 Semechkin	 R.	 #	 Galat	 V.	 #	 Gottesfeld	 J.	 #	 Belmonte	 J.C.I.	 #	 Murry	 C.	 #	 Keirstead	 H.S.	 #	 Park	 H.-S.	 #	 Schmidt	 U.	 #	 Laslett	 A.L.	 #	 Muller	 F.-J.	 #	 Nievergelt	 C.M.	 #	 Shamir	 R.	 #	 Loring	 J.F.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Proia	 T.A.	 #	 Keller	 P.J.	 #	 Gupta	 P.B.	 #	 Klebba	 I.	 #	 Jones	 A.D.	 #	 Sedic	 M.	 #	 Gilmore	 H.	 #	 Tung	 N.	 #	 Naber	 S.P.	 #	 Schnitt	 S.	 #	 Lander	 E.S.	 #	 Kuperwasser	 C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Keyes	 W.M.	 #	 Pecoraro	 M.	 #	 Aranda	 V.	 #	 Vernersson-Lindahl	 E.	 #	 Li	 W.	 #	 Vogel	 H.	 #	 Guo	 X.	 #	 Garcia	 E.L.	 #	 Michurina	 T.V.	 #	 Enikolopov	 G.	 #	 Muthuswamy	 S.K.	 #	 Mills	 A.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Tanimura	 S.	 #	 Tadokoro	 Y.	 #	 Inomata	 K.	 #	 Binh	 N.T.	 #	 Nishie	 W.	 #	 Yamazaki	 S.	 #	 Nakauchi	 H.	 #	 Tanaka	 Y.	 #	 McMillan	 J.R.	 #	 Sawamura	 D.	 #	 Yancey	 K.	 #	 Shimizu	 H.	 #	 Nishimura	 E.K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hochmuth	 C.E.	 #	 Biteau	 B.	 #	 Bohmann	 D.	 #	 Jasper	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Koh	 K.P.	 #	 Yabuuchi	 A.	 #	 Rao	 S.	 #	 Huang	 Y.	 #	 Cunniff	 K.	 #	 Nardone	 J.	 #	 Laiho	 A.	 #	 Tahiliani	 M.	 #	 Sommer	 C.A.	 #	 Mostoslavsky	 G.	 #	 Lahesmaa	 R.	 #	 Orkin	 S.H.	 #	 Rodig	 S.J.	 #	 Daley	 G.Q.	 #	 Rao	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kelly	 K.F.	 #	 Ng	 D.Y.	 #	 Jayakumaran	 G.	 #	 Wood	 G.A.	 #	 Koide	 H.	 #	 Doble	 B.W.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kattman	 S.J.	 #	 Witty	 A.D.	 #	 Gagliardi	 M.	 #	 Dubois	 N.C.	 #	 Niapour	 M.	 #	 Hotta	 A.	 #	 Ellis	 J.	 #	 Keller	 G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nguyen	 H.N.	 #	 Byers	 B.	 #	 Cord	 B.	 #	 Shcheglovitov	 A.	 #	 Byrne	 J.	 #	 Gujar	 P.	 #	 Kee	 K.	 #	 Schüle	 B.	 #	 Dolmetsch	 R.E.	 #	 Langston	 W.	 #	 Palmer	 T.D.	 #	 Pera	 R.R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
